#ncbi_taxid	cluster_id	protein_id
1110504	CL:0	1110504.MAGb_3820
1110504	CL:0	1110504.MAGb_3830
1110504	CL:0	1110504.MAGb_3840
1110504	CL:0	1110504.MAGb_3850
1110504	CL:0	1110504.MAGb_3860
1110504	CL:0	1110504.MAGb_3870
1110504	CL:0	1110504.MAGb_3880
1110504	CL:0	1110504.MAGb_3890
1110504	CL:0	1110504.MAGb_3900
1110504	CL:0	1110504.MAGb_3910
1110504	CL:0	1110504.MAGb_3920
1110504	CL:0	1110504.MAGb_3930
1110504	CL:0	1110504.MAGb_3940
1110504	CL:0	1110504.MAGb_3950
1110504	CL:0	1110504.MAGb_3960
1110504	CL:0	1110504.MAGb_3970
1110504	CL:0	1110504.MAGb_3990
1110504	CL:0	1110504.MAGb_4000
1110504	CL:0	1110504.MAGb_4010
1110504	CL:0	1110504.MAGb_4020
1110504	CL:0	1110504.MAGb_4030
1110504	CL:0	1110504.MAGb_4040
1110504	CL:0	1110504.MAGb_4050
1110504	CL:0	1110504.MAGb_4060
1110504	CL:0	1110504.MAGb_4070
1110504	CL:0	1110504.MAGb_4080
1110504	CL:0	1110504.MAGb_4090
1110504	CL:0	1110504.MAGb_4100
1110504	CL:0	1110504.MAGb_4110
1110504	CL:0	1110504.MAGb_4120
1110504	CL:0	1110504.MAGb_4130
1110504	CL:0	1110504.MAGb_4140
1110504	CL:0	1110504.MAGb_4150
1110504	CL:0	1110504.MAGb_4170
1110504	CL:0	1110504.MAGb_4190
1110504	CL:0	1110504.MAGb_4200
1110504	CL:0	1110504.MAGb_4210
1110504	CL:0	1110504.MAGb_4230
1110504	CL:0	1110504.MAGb_4240
1110504	CL:0	1110504.MAGb_4250
1110504	CL:0	1110504.MAGb_4260
1110504	CL:0	1110504.MAGb_4270
1110504	CL:0	1110504.MAGb_4280
1110504	CL:0	1110504.MAGb_4290
1110504	CL:0	1110504.MAGb_4300
1110504	CL:0	1110504.MAGb_4310
1110504	CL:0	1110504.MAGb_4330
1110504	CL:0	1110504.MAGb_4340
1110504	CL:0	1110504.MAGb_4350
1110504	CL:0	1110504.MAGb_4360
1110504	CL:0	1110504.MAGb_4370
1110504	CL:0	1110504.MAGb_4380
1110504	CL:0	1110504.MAGb_4390
1110504	CL:0	1110504.MAGb_4400
1110504	CL:0	1110504.MAGb_4410
1110504	CL:0	1110504.MAGb_4420
1110504	CL:0	1110504.MAGb_4450
1110504	CL:0	1110504.MAGb_4460
1110504	CL:0	1110504.MAGb_4470
1110504	CL:0	1110504.MAGb_4480
1110504	CL:0	1110504.MAGb_4490
1110504	CL:0	1110504.MAGb_4500
1110504	CL:0	1110504.MAGb_4510
1110504	CL:0	1110504.MAGb_4520
1110504	CL:0	1110504.MAGb_4530
1110504	CL:0	1110504.MAGb_4540
1110504	CL:0	1110504.MAGb_4550
1110504	CL:0	1110504.MAGb_4560
1110504	CL:0	1110504.MAGb_4570
1110504	CL:0	1110504.MAGb_4580
1110504	CL:0	1110504.MAGb_4590
1110504	CL:0	1110504.MAGb_4600
1110504	CL:0	1110504.MAGb_4610
1110504	CL:0	1110504.MAGb_4620
1110504	CL:0	1110504.MAGb_4630
1110504	CL:0	1110504.MAGb_4640
1110504	CL:0	1110504.MAGb_4650
1110504	CL:0	1110504.MAGb_4660
1110504	CL:0	1110504.MAGb_4670
1110504	CL:0	1110504.MAGb_4680
1110504	CL:0	1110504.MAGb_4690
1110504	CL:0	1110504.MAGb_4700
1110504	CL:0	1110504.MAGb_4710
1110504	CL:0	1110504.MAGb_4720
1110504	CL:0	1110504.MAGb_4730
1110504	CL:0	1110504.MAGb_4740
1110504	CL:0	1110504.MAGb_4750
1110504	CL:0	1110504.MAGb_4760
1110504	CL:0	1110504.MAGb_4770
1110504	CL:0	1110504.MAGb_4780
1110504	CL:0	1110504.MAGb_4790
1110504	CL:0	1110504.MAGb_4800
1110504	CL:0	1110504.MAGb_4810
1110504	CL:0	1110504.MAGb_4820
1110504	CL:0	1110504.MAGb_4830
1110504	CL:0	1110504.MAGb_4840
1110504	CL:0	1110504.MAGb_4850
1110504	CL:0	1110504.MAGb_4860
1110504	CL:0	1110504.MAGb_4890
1110504	CL:0	1110504.MAGb_4900
1110504	CL:0	1110504.MAGb_4910
1110504	CL:0	1110504.MAGb_4920
1110504	CL:0	1110504.MAGb_4930
1110504	CL:0	1110504.MAGb_4940
1110504	CL:0	1110504.MAGb_4950
1110504	CL:0	1110504.MAGb_4960
1110504	CL:0	1110504.MAGb_4970
1110504	CL:0	1110504.MAGb_4980
1110504	CL:0	1110504.MAGb_4990
1110504	CL:0	1110504.MAGb_5000
1110504	CL:0	1110504.MAGb_5010
1110504	CL:0	1110504.MAGb_5020
1110504	CL:0	1110504.MAGb_5030
1110504	CL:0	1110504.MAGb_5040
1110504	CL:0	1110504.MAGb_5050
1110504	CL:0	1110504.MAGb_5060
1110504	CL:0	1110504.MAGb_5090
1110504	CL:0	1110504.MAGb_5100
1110504	CL:0	1110504.MAGb_5110
1110504	CL:0	1110504.MAGb_5120
1110504	CL:0	1110504.MAGb_5130
1110504	CL:0	1110504.MAGb_5140
1110504	CL:0	1110504.MAGb_5150
1110504	CL:0	1110504.MAGb_5160
1110504	CL:0	1110504.MAGb_5170
1110504	CL:0	1110504.MAGb_5180
1110504	CL:0	1110504.MAGb_5190
1110504	CL:0	1110504.MAGb_5200
1110504	CL:0	1110504.MAGb_5210
1110504	CL:0	1110504.MAGb_5220
1110504	CL:0	1110504.MAGb_5230
1110504	CL:0	1110504.MAGb_5240
1110504	CL:0	1110504.MAGb_5250
1110504	CL:0	1110504.MAGb_5260
1110504	CL:0	1110504.MAGb_5270
1110504	CL:0	1110504.MAGb_5290
1110504	CL:0	1110504.MAGb_5300
1110504	CL:0	1110504.MAGb_5310
1110504	CL:0	1110504.MAGb_5320
1110504	CL:0	1110504.MAGb_5330
1110504	CL:0	1110504.MAGb_5340
1110504	CL:0	1110504.MAGb_5350
1110504	CL:0	1110504.MAGb_5360
1110504	CL:0	1110504.MAGb_5370
1110504	CL:0	1110504.MAGb_5380
1110504	CL:0	1110504.MAGb_5390
1110504	CL:0	1110504.MAGb_5400
